project_id,fastq_id,library_id,fastq_path,genus,species,strain,assembly_name_of_new_projects,joshua_assembly_name,aligned_read_depth,stdev,TreeName,Fake ID
100_0000729,8958.5.117167.CACTCA,AGHXO,/global/dna/dm_archive/sdm/illumina/00/89/58/8958.5.117167.CACTCA.fastq.gz,Brachypodium,distachyon,BdTR11E,8958.5.117167.CACTCA.anqdp.fa,Bdist_018_v0.fa,47.24,154.57,a,a
100_0000720,8957.4.117200.ATGTCA,AGHZU,/global/dna/dm_archive/sdm/illumina/00/89/57/8957.4.117200.ATGTCA.fastq.gz,Brachypodium,distachyon,Geo-G30i2,8957.4.117200.ATGTCA.anqdp.fa,Bdist_045_v0.fa,44.88,174.86,a,a
300658_404978,2081.3.1743,IGFP,/global/dna/dm_archive/sdm/illumina/00/20/81/2081.3.1743.fastq.gz,Brachypodium,distachyon,Tek-2,,,31.28,100.06,a,a
300658_404973,2263.6.1841,IOAB,/global/dna/dm_archive/sdm/illumina/00/22/63/2263.6.1841.fastq.gz,Brachypodium,distachyon,ABR6_r,,,105.54,197.53,a,a
300658_404970,2263.2.1841,INZP,/global/dna/dm_archive/sdm/illumina/00/22/63/2263.2.1841.fastq.gz,Brachypodium,distachyon,ABR9_r,,,116.55,182.54,a,a
300658_404971,2288.6.1851,IOHW,/global/dna/dm_archive/sdm/illumina/00/22/88/2288.6.1851.fastq.gz,Brachypodium,distachyon,ABR7,,,132.62,269.26,a,a
300658_404976,2374.6.1901,IUPW,/global/dna/dm_archive/sdm/illumina/00/23/74/2374.6.1901.fastq.gz,Brachypodium,distachyon,Uni2,,,133.3,251.82,a,a
300658_404977,2065.7.1739,IGFS,/global/dna/dm_archive/sdm/illumina/00/20/65/2065.7.1739.fastq.gz,Brachypodium,distachyon,Koz-1,,,94.39,241.3,a,a
300658_404974,2263.5.1841,INZY,/global/dna/dm_archive/sdm/illumina/00/22/63/2263.5.1841.fastq.gz,Brachypodium,distachyon,Mon3,,,101.51,221.89,a,a
300658_404975,2291.3.1852,IOGT,/global/dna/dm_archive/sdm/illumina/00/22/91/2291.3.1852.fastq.gz,Brachypodium,distachyon,Mig3,,,131.12,250.86,a,a
100_0000333,7958.1.88312.GAGTGG,TOST,/global/dna/dm_archive/sdm/illumina/00/79/58/7958.1.88312.GAGTGG.fastq.gz,Brachypodium,stacei,TE43,,,,,a,a
100_0000735,8957.4.117200.AGTTCC,AGNAH,/global/dna/dm_archive/sdm/illumina/00/89/57/8957.4.117200.AGTTCC.fastq.gz,Brachypodium,distachyon,Alb-AL2D,8957.4.117200.AGTTCC.anqdp.fa,Bdist_026_v0.fa,50.98,162.79,a,a
100_0000689,10343.7.157719.TGACCA,AYSBB,/global/dna/dm_archive/sdm/illumina/01/03/43/10343.7.157719.TGACCA.fastq.gz,Brachypodium,distachyon,Alb-AL1A.1,,,32.05,156.61,a,a
100_0000688,10348.2.157955.AGTCAA,AYSBC,/global/dna/dm_archive/sdm/illumina/01/03/48/10348.2.157955.AGTCAA.fastq.gz,Brachypodium,distachyon,Arm-Arm2B,AYSBC.10348.2.157955.AGTCAA.anqdpht.fastq.config.rundir.min_depth_cutoff_4.mer_sizes_65_91_121.num_scaff_loop_5.fa,Bdist_040_v0.fa,53.87,192.64,a,a
100_0000681,10343.8.157724.CAGATC,AYSBO,/global/dna/dm_archive/sdm/illumina/01/03/43/10343.8.157724.CAGATC.fastq.gz,Brachypodium,distachyon,Ita-Sic-BNT4.1,AYSBO.10343.8.157724.CAGATC.anqdpht.fastq.config.rundir.min_depth_cutoff_4.mer_sizes_65_91_121.num_scaff_loop_5.fa,Bdist_030_v0.fa,43.46,160.68,a,a
100_0000680,10348.6.157975.CAACTA,AYSCX,/global/dna/dm_archive/sdm/illumina/01/03/48/10348.6.157975.CAACTA.fastq.gz,Brachypodium,distachyon,Ita-Sic-BNT8,AYSCX.10348.6.157975.CAACTA.anqdpht.fastq.config.rundir.min_depth_cutoff_4.mer_sizes_65_91_121.num_scaff_loop_5.fa,Bdist_064_v0.fa,60.9,192.29,a,a
100_0000683,10348.4.157965.CGTACG,AYSBN,/global/dna/dm_archive/sdm/illumina/01/03/48/10348.4.157965.CGTACG.fastq.gz,Brachypodium,distachyon,Geo-G33i6,AYSBN.10348.4.157965.CGTACG.anqdpht.fastq.config.rundir.min_depth_cutoff_4.mer_sizes_65_91_121.num_scaff_loop_5.fa,Bdist_057_v0.fa,47.18,167.62,a,a
100_0000682,10348.5.157970.CAAAAG,AYSCW,/global/dna/dm_archive/sdm/illumina/01/03/48/10348.5.157970.CAAAAG.fastq.gz,Brachypodium,distachyon,Ita-Sic-BNT3,AYSCW.10348.5.157970.CAAAAG.anqdpht.fastq.config.rundir.min_depth_cutoff_4.mer_sizes_65_91_121.num_scaff_loop_5.fa,Bdist_031_v0.fa,45.26,102.13,a,a
100_0000685,10348.5.157970.ATTCCT,AYSCU,/global/dna/dm_archive/sdm/illumina/01/03/48/10348.5.157970.ATTCCT.fastq.gz,Brachypodium,distachyon,Geo-G32i2,AYSCU.10348.5.157970.ATTCCT.anqdpht.fastq.config.rundir.min_depth_cutoff_4.mer_sizes_65_91_121.num_scaff_loop_5.fa,Bdist_012_v0.fa,41.95,171.98,a,a
100_0000684,10348.3.157960.GTAGAG,AYSBH,/global/dna/dm_archive/sdm/illumina/01/03/48/10348.3.157960.GTAGAG.fastq.gz,Brachypodium,distachyon,Geo-G33i4,AYSBH.10348.3.157960.GTAGAG.anqdpht.fastq.config.rundir.min_depth_cutoff_4.mer_sizes_65_91_121.num_scaff_loop_5.fa,Bdist_050_v0.fa,43.93,176.29,a,a
100_0000687,10343.7.157719.ACAGTG,AYSBG,/global/dna/dm_archive/sdm/illumina/01/03/43/10343.7.157719.ACAGTG.fastq.gz,Brachypodium,distachyon,Arm-Arm3i,AYSBG.10343.7.157719.ACAGTG.anqdpht.fastq.config.rundir.min_depth_cutoff_4.mer_sizes_65_91_121.num_scaff_loop_5.fa,Bdist_044_v0.fa,42.5,180.2,a,a
100_0000686,10348.2.157955.ATGTCA,AYSCB,/global/dna/dm_archive/sdm/illumina/01/03/48/10348.2.157955.ATGTCA.fastq.gz,Brachypodium,distachyon,Gaz-7,AYSCB.10348.2.157955.ATGTCA.anqdpht.fastq.config.rundir.min_depth_cutoff_4.mer_sizes_65_91_121.num_scaff_loop_5.fa,Bdist_016_v0.fa,45.79,184.21,a,a
